,dry_land_percent_column
moderncam4b_010p10p30a,69.52332452095207
moderncam4b_010p20p40a,66.36741555874879
moderncam4b_010p30p50a,59.83857858235765
moderncam4b_025p20p40a,67.03700330189639
moderncam4b_050p10p30a,70.96526815826472
moderncam4b_050p15p35a,70.10759763103864
moderncam4b_050p20p40a,67.81028242442045
moderncam4b_050p25p45a,65.47946839544834
moderncam4b_050p30p50a,61.854735239900016
moderncam4b_100p20p40a,69.0571002934321
moderncam4b_200p10p30a,72.32949219305881
moderncam4b_200p20p40a,69.95500243777852
moderncam4b_200p30p50a,64.8742891816951
