,Broadband solar,Visible/near-IR,CO2 (ppm),Global average planetary albedo,Global mean surface temperature (C),"Radiative forcing (W m-2) relative to 10ppm, albedo 0.4",Percent of land area with Tmax>-2C in warmest month,Percent of land area with PE>P in annual mean,Percent of land area with PE>P and Tmax>-2C,Percent of ocean area with PE>P and Tmax>-2C
moderncam4b_010p10p30a,0.2,0.1/0.3,10,0.6611014844377388,-64.3550011976431,4.062647881888296,7.051389323967127,35.95113490003262,6.564170297780919,0.6029428773036203
moderncam4b_010p20p40a,0.3,0.2/0.4,10,0.6735713681864451,-66.6943343201707,2.0516387056931222,0.8055607196203095,30.67849047170821,0.8055607196203095,0.028514074853575537
moderncam4b_010p30p50a,0.4,0.3/0.5,10,0.6854824070487372,-68.95817224175988,0.0,0.0,24.452754168336856,0.0,0.0
moderncam4b_025p20p40a,0.3,0.2/0.4,25,0.6723549703699844,-65.9755617489862,3.598615310428622,1.1054604763088505,31.07867351449527,1.0389288395744263,0.09591852439755036
moderncam4b_050p10p30a,0.2,0.1/0.3,50,0.6586327741098479,-62.896781568869784,6.814428805887388,9.793936506179628,37.56705240298076,8.71776427726437,0.8312213797711054
moderncam4b_050p15p35a,0.25,0.15/0.35,50,0.6651355825980118,-64.14247197342385,5.8138430643591335,4.38934624302448,34.42804311451267,4.269601125808826,0.3802275062554829
moderncam4b_050p20p40a,0.2/0.4,0.2/0.4,50,0.6713052070507802,-65.34103475596305,4.803419629692215,1.652758299521222,31.4701994308883,1.5532345649793402,0.14831997492080579
moderncam4b_050p25p45a,0.35,0.25/0.45,50,0.6774227260655497,-66.53575251999814,3.782842812424377,0.40411668977502413,29.283789945644685,0.4041166897750242,0.028514074853575537
moderncam4b_050p30p50a,0.4,0.3/0.5,50,0.6833601217569103,-67.69338852938978,2.7517809239990925,0.0,26.11256895234359,0.0,0.0
moderncam4b_100p20p40a,0.3,0.2/0.4,100,0.6704083774603835,-64.66963290005722,5.993767446066528,1.951514877374055,32.36967620247209,1.8856403076344193,0.16159241223177703
moderncam4b_100p30p50a,0.4,0.3/0.5,100,,,,,,,
moderncam4b_200p10p30a,0.2,0.1/0.3,200,0.6567559788707806,-61.41834008407892,9.224962669365723,11.9731453769179,39.57491801669069,10.708125781514951,1.1333972160109669
moderncam4b_200p20p40a,0.3,0.2/0.4,200,0.6696309811786809,-63.96122583508284,7.21395349317055,2.4703730441961236,33.32041251694581,2.369425549789388,0.243535647345688
moderncam4b_200p30p50a,0.4,0.3/0.5,200,0.6817166557142648,-66.37384999927707,5.162314787477428,0.0988298726794142,28.78546078982845,0.0988298726794142,0.0
