,surfalbedo_column
moderncam4b_010p10p30a,0.723642539654041
moderncam4b_010p20p40a,0.7373901202869051
moderncam4b_010p30p50a,0.7506990278186892
moderncam4b_025p20p40a,0.7371907767022836
moderncam4b_050p10p30a,0.7229879009886039
moderncam4b_050p15p35a,0.730088265726346
moderncam4b_050p20p40a,0.7368346099443014
moderncam4b_050p25p45a,0.7435879072491337
moderncam4b_050p30p50a,0.7502108306819559
moderncam4b_100p20p40a,0.7365936532392571
moderncam4b_200p10p30a,0.7223951489507278
moderncam4b_200p20p40a,0.7363839498901934
moderncam4b_200p30p50a,0.7496546345575391
