,RF_column
moderncam4b_010p10p30a,4.062647881888296
moderncam4b_010p20p40a,2.0516387056931222
moderncam4b_010p30p50a,0.0
moderncam4b_025p20p40a,3.598615310428622
moderncam4b_050p10p30a,6.814428805887388
moderncam4b_050p15p35a,5.8138430643591335
moderncam4b_050p20p40a,4.803419629692215
moderncam4b_050p25p45a,3.782842812424377
moderncam4b_050p30p50a,2.7517809239990925
moderncam4b_100p20p40a,5.993767446066528
moderncam4b_200p10p30a,9.224962669365723
moderncam4b_200p20p40a,7.21395349317055
moderncam4b_200p30p50a,5.162314787477428
