,dry_land_percent_column
moderncam4b_010p10p30a,35.95113490003262
moderncam4b_010p20p40a,30.67849047170821
moderncam4b_010p30p50a,24.452754168336856
moderncam4b_025p20p40a,31.07867351449527
moderncam4b_050p10p30a,37.56705240298076
moderncam4b_050p15p35a,34.42804311451267
moderncam4b_050p20p40a,31.4701994308883
moderncam4b_050p25p45a,29.283789945644685
moderncam4b_050p30p50a,26.11256895234359
moderncam4b_100p20p40a,32.36967620247209
moderncam4b_200p10p30a,39.57491801669069
moderncam4b_200p20p40a,33.32041251694581
moderncam4b_200p30p50a,28.78546078982845
